station,stratum,year,season,lat,lon,depth,surftemp,comname,abundance,biomass
7,1710,2012,FALL,38.396472,-73.458615,121,25.26,ATLANTIC COD,0,0
7,1710,2013,SPRING,38.049048,-73.995387,113,8.74,ATLANTIC COD,0,0
7,1740,2001,SPRING,39.310765,-72.980065,69,6.73,ATLANTIC COD,0,0
7,1740,2009,FALL,38.605425,-73.285317,110,22.62,ATLANTIC COD,0,0
7,1750,2002,FALL,38.705333,-73.153,129,22.56,ATLANTIC COD,0,0
7,1750,2006,SPRING,39.065383,-72.88155,89,7.67,ATLANTIC COD,0,0
7,3230,2010,SPRING,39.105765,-74.24585,28,3.59,ATLANTIC COD,0,0
7,3280,2007,FALL,38.028317,-75.069025,12,24.74,ATLANTIC COD,0,0
7,3350,2005,SPRING,37.30513,-75.477612,22,4.14,ATLANTIC COD,0,0
8,1030,2008,FALL,39.639677,-72.31688,112,NA,ATLANTIC COD,0,0
8,1660,2010,FALL,37.524448,-74.484495,77,23.55,ATLANTIC COD,0,0
8,1690,2003,SPRING,38.098373,-74.29094,49,8.66,ATLANTIC COD,0,0
8,1700,2006,FALL,38.399985,-73.917102,63,23.04,ATLANTIC COD,0,0
8,1700,2011,SPRING,37.904858,-74.289518,72,7.27,ATLANTIC COD,0,0
8,1710,2007,SPRING,38.275442,-73.707468,122,10.17,ATLANTIC COD,0,0
8,1720,2001,FALL,38.390568,-73.575088,269,25.71,ATLANTIC COD,0,0
8,1720,2004,SPRING,38.0295,-73.851333,375,8.4,ATLANTIC COD,0,0
8,1720,2012,FALL,38.387878,-73.435972,233,25.26,ATLANTIC COD,0,0
8,1730,2010,SPRING,39.146125,-73.672642,38,5.47,ATLANTIC COD,0,0
8,1740,2001,SPRING,39.184493,-72.996673,72,6.65,ATLANTIC COD,0,0
8,1750,2006,SPRING,39.021033,-72.823033,117,7.33,ATLANTIC COD,0,0
8,1750,2009,FALL,38.480805,-73.351265,123,22.6,ATLANTIC COD,0,0
8,1760,2012,SPRING,38.959867,-72.819725,288,10.32,ATLANTIC COD,0,0
8,3040,2008,SPRING,40.934427,-72.156103,16,4.71,ATLANTIC COD,0,0
8,3300,2007,FALL,37.886815,-75.303403,11,25.16,ATLANTIC COD,0,0
8,3340,2005,SPRING,37.400307,-75.51949,18,3.8,ATLANTIC COD,0,0
9,1060,2002,SPRING,40.773,-71.769833,57,7.21,ATLANTIC COD,0,0
9,1650,2011,FALL,36.753893,-74.96579,36,24.55,ATLANTIC COD,0,0
9,1670,2010,FALL,37.376483,-74.509465,114,23.47,ATLANTIC COD,0,0
9,1690,2003,SPRING,38.014823,-74.591163,39,4.77,ATLANTIC COD,0,0
9,1700,2009,FALL,38.605435,-73.687223,65,23.01,ATLANTIC COD,0,0
9,1700,2011,SPRING,37.858425,-74.416158,62,7.59,ATLANTIC COD,0,0
9,1710,2004,SPRING,38.064167,-73.989,115,8.81,ATLANTIC COD,0,0
9,1720,2007,SPRING,38.176648,-73.69269,336,9.93,ATLANTIC COD,0,0
9,1720,2013,SPRING,37.953315,-73.957195,202,8.8,ATLANTIC COD,0,0
9,1730,2010,SPRING,38.899537,-73.670765,46,5.18,ATLANTIC COD,0,0
9,1740,2001,SPRING,39.179988,-73.189652,66,6.75,ATLANTIC COD,0,0
9,1740,2002,FALL,38.652667,-73.639833,64,22.98,ATLANTIC COD,0,0
9,1750,2006,SPRING,38.738883,-73.080433,145,7.84,ATLANTIC COD,0,0
9,1760,2009,SPRING,38.723407,-73.042992,265,7.86,ATLANTIC COD,0,0
9,1760,2012,SPRING,38.964852,-72.830583,202,10.46,ATLANTIC COD,0,0
9,3050,2008,SPRING,40.89534,-72.209982,24,4.47,ATLANTIC COD,0,0
9,3320,2007,FALL,37.611083,-75.380257,16,24.9,ATLANTIC COD,0,0
10,1030,2008,FALL,39.191555,-72.672045,130,NA,ATLANTIC COD,0,0
10,1050,2002,SPRING,40.934667,-71.912333,32,6.21,ATLANTIC COD,0,0
10,1660,2011,FALL,36.804232,-74.701542,93,22.9,ATLANTIC COD,0,0
10,1670,2003,SPRING,37.481723,-74.40429,137,9.8,ATLANTIC COD,0,0
10,1690,2002,FALL,38.640833,-73.9005,48,22.83,ATLANTIC COD,0,0
10,1700,2004,SPRING,38.101667,-74.2065,58,7.27,ATLANTIC COD,0,0
10,1700,2005,FALL,37.983047,-74.241182,70,24.86,ATLANTIC COD,0,0
10,1700,2006,FALL,38.06333,-74.0772,92,23.73,ATLANTIC COD,0,0
10,1710,2001,FALL,38.266438,-73.657333,151,25.62,ATLANTIC COD,0,0
10,1710,2007,SPRING,38.026058,-73.970985,130,10.15,ATLANTIC COD,0,0
10,1710,2011,SPRING,37.734903,-74.226505,126,8.47,ATLANTIC COD,0,0
10,1720,2009,FALL,38.21404,-73.670822,329,22.63,ATLANTIC COD,0,0
10,1720,2013,SPRING,37.882985,-74.013277,239,9.32,ATLANTIC COD,0,0
10,1730,2001,SPRING,39.232033,-73.377717,51,6.66,ATLANTIC COD,0,0
10,1730,2006,SPRING,38.773183,-73.619567,54,7,ATLANTIC COD,0,0
10,1730,2010,SPRING,38.862922,-73.76004,44,5.01,ATLANTIC COD,0,0
10,1740,2009,SPRING,38.595185,-73.335265,96,7.78,ATLANTIC COD,0,0
10,1750,2012,SPRING,38.849033,-72.979573,119,10.59,ATLANTIC COD,0,0
11,1650,2004,FALL,36.540975,-74.858565,41,23.73,ATLANTIC COD,0,0
11,1660,2003,SPRING,37.277722,-74.624458,90,9.45,ATLANTIC COD,0,0
11,1680,2011,FALL,36.710482,-74.668138,247,23.44,ATLANTIC COD,0,0
11,1690,2004,SPRING,38.060333,-74.339833,50,6.4,ATLANTIC COD,0,0
11,1700,2005,FALL,37.900562,-74.377905,62,25.07,ATLANTIC COD,0,0
11,1700,2006,FALL,38.017563,-74.309913,61,20.49,ATLANTIC COD,0,0
11,1700,2009,SPRING,38.562377,-73.613367,70,7.81,ATLANTIC COD,0,0
11,1710,2009,FALL,38.208067,-73.764663,120,22.7,ATLANTIC COD,0,0
11,1720,2007,SPRING,37.948463,-73.964387,204,9.81,ATLANTIC COD,0,0
11,1720,2011,SPRING,37.74856,-74.181577,184,8.12,ATLANTIC COD,0,0
11,1720,2013,SPRING,37.876497,-74.074385,239,9.92,ATLANTIC COD,0,0
11,1730,2006,SPRING,38.77235,-73.81195,46,6.95,ATLANTIC COD,0,0
11,1730,2010,SPRING,38.850815,-73.964338,43,4.68,ATLANTIC COD,0,0
11,1740,2001,SPRING,38.76561,-73.15075,102,6.8,ATLANTIC COD,0,0
11,1740,2012,SPRING,38.80331,-73.124482,86,10.65,ATLANTIC COD,0,0
11,1750,2003,FALL,38.841333,-72.952167,168,23.46,ATLANTIC COD,0,0
11,3040,2002,SPRING,40.974833,-72.0205,15,6.38,ATLANTIC COD,0,0
11,3340,2007,FALL,37.291723,-75.640892,15,25.62,ATLANTIC COD,0,0
12,1610,2004,FALL,36.18831,-75.038335,41,24.19,ATLANTIC COD,0,0
12,1660,2011,SPRING,37.68888,-74.614302,56,8,ATLANTIC COD,0,0
12,1670,2003,SPRING,37.197792,-74.553138,128,10.46,ATLANTIC COD,0,0
12,1670,2010,FALL,37.107175,-74.589632,109,23.7,ATLANTIC COD,0,0
12,1690,2004,SPRING,37.929167,-74.570667,50,5.3,ATLANTIC COD,0,0
12,1690,2010,SPRING,38.565322,-74.230447,49,4.7,ATLANTIC COD,0,0
12,1700,2001,FALL,37.854538,-74.314552,70,24.99,ATLANTIC COD,0,0
12,1700,2006,SPRING,38.647917,-73.731333,62,8.5,ATLANTIC COD,0,0
12,1700,2009,FALL,38.266368,-73.883735,79,22.39,ATLANTIC COD,0,0
12,1700,2013,SPRING,37.980727,-74.205075,77,7.92,ATLANTIC COD,0,0
12,1710,2007,SPRING,37.910272,-74.032697,156,10.25,ATLANTIC COD,0,0
12,1710,2009,SPRING,38.39446,-73.611858,116,7.84,ATLANTIC COD,0,0
12,1720,2006,FALL,37.821818,-74.10865,229,25.14,ATLANTIC COD,0,0
12,1740,2008,FALL,38.983558,-73.062797,78,NA,ATLANTIC COD,0,0
12,1740,2015,SPRING,39.258038,-72.922905,74,NA,ATLANTIC COD,0,0
12,1750,2001,SPRING,38.725475,-73.092483,148,8.5,ATLANTIC COD,0,0
12,1760,2012,SPRING,38.640785,-73.139282,250,10.46,ATLANTIC COD,0,0
12,3040,2002,SPRING,40.933333,-72.145667,18,6.17,ATLANTIC COD,0,0
12,3080,2008,SPRING,40.73427,-72.719937,24,5.14,ATLANTIC COD,0,0
13,1620,2004,FALL,36.146685,-74.909698,78,24.08,ATLANTIC COD,0,0
13,1640,2011,FALL,36.492868,-74.734447,211,23.23,ATLANTIC COD,0,0
13,1650,2011,SPRING,37.604773,-74.711515,58,7.16,ATLANTIC COD,0,0
13,1650,2013,SPRING,37.740413,-74.718672,48,7.88,ATLANTIC COD,0,0
13,1660,2003,SPRING,37.04322,-74.795158,65,8.84,ATLANTIC COD,0,0
13,1680,2010,FALL,36.963852,-74.62441,282,23.17,ATLANTIC COD,0,0
13,1690,2010,SPRING,38.739,-74.425227,39,3.66,ATLANTIC COD,0,0
13,1700,2004,SPRING,37.733833,-74.268667,110,8.69,ATLANTIC COD,0,0
13,1700,2009,SPRING,38.395903,-73.774473,78,8.2,ATLANTIC COD,0,0
13,1710,2009,FALL,38.017207,-74.015007,117,22.61,ATLANTIC COD,0,0
13,1720,2007,SPRING,37.819435,-74.111425,240,10.06,ATLANTIC COD,0,0
13,1720,2012,FALL,37.993762,-73.915795,220,26.2,ATLANTIC COD,0,0
13,1740,2006,SPRING,38.6583,-73.513317,70,8.56,ATLANTIC COD,0,0
13,1740,2008,FALL,38.908153,-73.241738,73,NA,ATLANTIC COD,0,0
13,1750,2012,SPRING,38.663017,-73.195177,132,9.79,ATLANTIC COD,0,0
13,1760,2001,SPRING,38.519573,-73.257195,351,9.99,ATLANTIC COD,0,0
13,1760,2015,SPRING,39.082178,-72.714255,238,NA,ATLANTIC COD,0,0
13,3050,2002,SPRING,40.892167,-72.191167,27,6.21,ATLANTIC COD,0,0
13,3360,2007,FALL,37.129458,-75.768455,11,25.83,ATLANTIC COD,0,0
14,1620,2004,FALL,36.149132,-74.847333,94,23.97,ATLANTIC COD,0,0
14,1630,2011,FALL,36.43601,-74.783873,123,23.23,ATLANTIC COD,0,0
14,1650,2005,FALL,37.1505,-74.967635,44,24.94,ATLANTIC COD,0,0
14,1660,2003,SPRING,36.98088,-74.786125,63,8.86,ATLANTIC COD,0,0
14,1660,2006,FALL,37.352397,-74.631337,78,22.92,ATLANTIC COD,0,0
14,1660,2011,SPRING,37.558378,-74.671117,55,8.08,ATLANTIC COD,0,0
14,1670,2010,FALL,36.946323,-74.647425,102,23.21,ATLANTIC COD,0,0
14,1680,2004,SPRING,37.498667,-74.342167,270,9.98,ATLANTIC COD,0,0
14,1690,2012,FALL,38.133537,-74.227283,49,26.11,ATLANTIC COD,0,0
14,1700,2006,SPRING,38.5634,-73.545667,73,8.76,ATLANTIC COD,0,0
14,1700,2007,SPRING,37.98487,-74.224975,73,8.92,ATLANTIC COD,0,0
14,1700,2013,SPRING,37.644797,-74.444128,68,8.34,ATLANTIC COD,0,0
14,1710,2009,FALL,37.974693,-74.051182,124,22.76,ATLANTIC COD,0,0
14,1720,2009,SPRING,38.172868,-73.681192,485,11.87,ATLANTIC COD,0,0
14,1740,2008,FALL,39.053842,-73.406062,57,NA,ATLANTIC COD,0,0
14,1750,2001,SPRING,38.570137,-73.272788,134,9.74,ATLANTIC COD,0,0
14,1750,2012,SPRING,38.61249,-73.242805,134,10.67,ATLANTIC COD,0,0
14,3050,2002,SPRING,40.852333,-72.265833,28,6.33,ATLANTIC COD,0,0
14,3230,2010,SPRING,38.883153,-74.58887,18,2.74,ATLANTIC COD,0,0
14,3370,2005,SPRING,36.90229,-75.936455,15,4.3,ATLANTIC COD,0,0
14,3370,2007,FALL,37.0299,-75.743797,14,26.35,ATLANTIC COD,0,0
15,1630,2004,FALL,36.085077,-74.794602,170,24.19,ATLANTIC COD,0,0
15,1650,2005,SPRING,36.906535,-75.264593,31,4.91,ATLANTIC COD,0,0
15,1650,2010,FALL,36.904952,-74.949197,42,21.33,ATLANTIC COD,0,0
15,1660,2001,FALL,37.601692,-74.532562,64,25.36,ATLANTIC COD,0,0
15,1660,2004,SPRING,37.352333,-74.674833,61,8.6,ATLANTIC COD,0,0
15,1660,2013,SPRING,37.517178,-74.416498,98,10.28,ATLANTIC COD,0,0
15,1680,2003,SPRING,36.751217,-74.65126,323,10.25,ATLANTIC COD,0,0
15,1680,2011,SPRING,37.506117,-74.348127,203,9.81,ATLANTIC COD,0,0
15,1690,2012,FALL,38.053992,-74.319063,56,26.14,ATLANTIC COD,0,0
15,1700,2007,SPRING,37.928973,-74.31656,66,9.44,ATLANTIC COD,0,0
15,1700,2009,FALL,37.936577,-74.122195,113,22.77,ATLANTIC COD,0,0
15,1710,2002,FALL,38.359333,-73.5845,182,23.77,ATLANTIC COD,0,0
15,1710,2006,SPRING,38.26715,-73.675533,129,10.31,ATLANTIC COD,0,0
15,1730,2001,SPRING,38.722817,-73.766267,51,7.34,ATLANTIC COD,0,0
15,1730,2008,FALL,39.093772,-73.465895,53,NA,ATLANTIC COD,0,0
15,1740,2003,FALL,39.146667,-73.346167,57,21.74,ATLANTIC COD,0,0
15,1740,2012,SPRING,38.617687,-73.517887,74,9.75,ATLANTIC COD,0,0
15,1760,2015,SPRING,38.965017,-72.821048,254,NA,ATLANTIC COD,0,0
15,3060,2002,SPRING,40.8025,-72.567833,13,6.1,ATLANTIC COD,0,0
16,1640,2011,FALL,36.25018,-74.779423,214,23.09,ATLANTIC COD,0,0
16,1650,2003,SPRING,36.565655,-75.40345,28,5.48,ATLANTIC COD,0,0
16,1650,2005,SPRING,37.103848,-75.131073,35,5.88,ATLANTIC COD,0,0
16,1660,2004,SPRING,37.271333,-74.716333,64,7.95,ATLANTIC COD,0,0
16,1660,2005,FALL,37.185123,-74.622797,93,25.52,ATLANTIC COD,0,0
16,1670,2011,SPRING,37.36606,-74.503433,118,9.29,ATLANTIC COD,0,0
16,1680,2010,FALL,36.818658,-74.654423,240,23.14,ATLANTIC COD,0,0
16,1680,2013,SPRING,37.398873,-74.480703,191,10.78,ATLANTIC COD,0,0
16,1690,2001,SPRING,38.85339,-74.10173,46,5.59,ATLANTIC COD,0,0
16,1690,2007,SPRING,38.073667,-74.303408,53,7.85,ATLANTIC COD,0,0
16,1700,2012,FALL,38.008275,-74.327747,58,26.09,ATLANTIC COD,0,0
16,1710,2006,SPRING,38.235317,-73.772633,112,9.99,ATLANTIC COD,0,0
16,1710,2009,SPRING,38.18201,-73.889612,135,9.13,ATLANTIC COD,0,0
16,1720,2002,FALL,38.121667,-73.785167,231,23.83,ATLANTIC COD,0,0
16,1730,2012,SPRING,38.705068,-73.725625,56,8.81,ATLANTIC COD,0,0
16,1740,2003,FALL,39.063833,-73.414167,56,23.33,ATLANTIC COD,0,0
16,1740,2015,SPRING,39.02233,-73.18917,74,NA,ATLANTIC COD,0,0
16,3100,2008,SPRING,40.598128,-73.278638,17,5.65,ATLANTIC COD,0,0
17,1610,2003,SPRING,36.387742,-75.25969,37,6.17,ATLANTIC COD,0,0
17,1630,2011,FALL,36.08378,-74.794773,177,23.55,ATLANTIC COD,0,0
17,1640,2004,FALL,35.781933,-74.853822,195,26.35,ATLANTIC COD,0,0
17,1640,2010,FALL,36.405968,-74.772892,209,22.89,ATLANTIC COD,0,0
17,1650,2006,FALL,36.982238,-74.957148,44,21.53,ATLANTIC COD,0,0
17,1660,2005,SPRING,37.117858,-74.789447,66,6.2,ATLANTIC COD,0,0
17,1660,2011,SPRING,37.356715,-74.556012,99,8.16,ATLANTIC COD,0,0
17,1660,2013,SPRING,37.397243,-74.581678,85,8.25,ATLANTIC COD,0,0
17,1670,2004,SPRING,37.111,-74.583333,116,9.84,ATLANTIC COD,0,0
17,1680,2005,FALL,37.10498,-74.550302,332,25.59,ATLANTIC COD,0,0
17,1690,2001,SPRING,38.775185,-74.054345,49,5.58,ATLANTIC COD,0,0
17,1690,2006,SPRING,38.520667,-74.119167,51,6.18,ATLANTIC COD,0,0
17,1690,2007,SPRING,37.980867,-74.611447,38,6.57,ATLANTIC COD,0,0
17,1690,2012,SPRING,38.696113,-73.879073,48,8.85,ATLANTIC COD,0,0
17,1700,2009,FALL,37.926217,-74.292695,74,NA,ATLANTIC COD,0,0
17,1700,2009,SPRING,38.352807,-74.097363,57,8.17,ATLANTIC COD,0,0
17,1700,2012,FALL,38.003848,-74.232908,70,26.02,ATLANTIC COD,0,0
17,1730,2003,FALL,39.105,-73.475667,54,21.05,ATLANTIC COD,0,0
17,1730,2008,FALL,39.144282,-73.945598,43,NA,ATLANTIC COD,0,0
17,1740,2013,FALL,38.657257,-73.471455,75,23.53,ATLANTIC COD,0,0
17,3080,2002,SPRING,40.647667,-72.868333,29,5.9,ATLANTIC COD,0,0
18,1620,2003,SPRING,36.1361,-74.859062,87,10.45,ATLANTIC COD,0,0
18,1620,2011,FALL,35.894503,-74.915075,85,24.01,ATLANTIC COD,0,0
18,1650,2011,SPRING,37.223528,-74.802313,55,8.12,ATLANTIC COD,0,0
18,1660,2001,FALL,37.149323,-74.707855,96,24.98,ATLANTIC COD,0,0
18,1660,2004,SPRING,37.056167,-74.809667,58,7.53,ATLANTIC COD,0,0
18,1660,2007,SPRING,37.657058,-74.581635,57,9.42,ATLANTIC COD,0,0
18,1670,2005,FALL,36.93929,-74.6384,132,25.55,ATLANTIC COD,0,0
18,1670,2005,SPRING,37.086173,-74.770645,98,7.33,ATLANTIC COD,0,0
18,1680,2013,SPRING,37.342873,-74.477217,211,11.13,ATLANTIC COD,0,0
18,1690,2002,FALL,38.095833,-74.539167,41,22.42,ATLANTIC COD,0,0
18,1690,2006,SPRING,38.26995,-74.315467,47,6.85,ATLANTIC COD,0,0
18,1690,2009,SPRING,38.322317,-74.366098,41,4.57,ATLANTIC COD,0,0
